649.0,198.0
649.0,195.0
649.0,194.0
649.0,191.0
649.0,190.0
649.0,187.0
650.0,185.0
650.0,184.0
650.0,183.0
650.0,182.0
650.0,181.0
652.0,179.0
653.0,178.0
653.0,177.0
653.0,176.0
653.0,174.0
653.0,173.0
654.0,172.0
654.0,171.0
655.0,169.0
656.0,168.0
656.0,167.0
656.0,165.0
656.0,164.0
656.0,163.0
656.0,162.0
656.0,161.0
657.0,160.0
657.0,158.0
657.0,156.0
659.0,154.0
660.0,150.0
660.0,148.0
660.0,146.0
661.0,143.0
662.0,141.0
663.0,138.0
663.0,137.0
663.0,136.0
663.0,134.0
664.0,132.0
665.0,130.0
666.0,127.0
666.0,124.0
666.0,123.0
666.0,121.0
666.0,120.0
666.0,117.0
666.0,116.0
666.0,114.0
666.0,112.0
666.0,109.0
666.0,107.0
666.0,105.0
668.0,101.0
668.0,100.0
668.0,99.0
668.0,96.0
668.0,93.0
668.0,90.0
669.0,88.0
669.0,87.0
669.0,86.0
669.0,85.0
669.0,82.0
669.0,79.0
671.0,77.0
672.0,76.0
672.0,75.0
672.0,72.0
672.0,71.0
672.0,68.0
672.0,67.0
672.0,64.0
672.0,63.0
672.0,60.0
675.0,57.0
675.0,55.0
675.0,52.0
676.0,51.0
676.0,48.0
678.0,46.0
679.0,43.0
679.0,40.0
681.0,38.0
682.0,37.0
684.0,34.0
685.0,31.0
685.0,30.0
686.0,27.0
687.0,26.0
688.0,25.0
689.0,24.0
691.0,24.0
693.0,24.0
697.0,23.0
698.0,23.0
699.0,22.0
700.0,22.0
701.0,22.0
702.0,22.0
703.0,22.0
704.0,22.0
705.0,22.0
706.0,22.0
707.0,22.0
709.0,23.0
710.0,23.0
711.0,24.0
712.0,25.0
714.0,29.0
716.0,30.0
716.0,31.0
716.0,34.0
718.0,36.0
718.0,37.0
719.0,39.0
719.0,40.0
719.0,43.0
721.0,46.0
721.0,47.0
721.0,51.0
721.0,54.0
721.0,56.0
721.0,58.0
721.0,61.0
721.0,62.0
721.0,64.0
721.0,66.0
721.0,68.0
721.0,71.0
721.0,74.0
721.0,75.0
721.0,78.0
721.0,79.0
721.0,82.0
721.0,85.0
721.0,86.0
721.0,89.0
721.0,91.0
721.0,92.0
721.0,94.0
721.0,95.0
721.0,98.0
721.0,99.0
721.0,102.0
721.0,103.0
721.0,105.0
721.0,107.0
721.0,110.0
721.0,111.0
721.0,114.0
721.0,115.0
721.0,118.0
720.0,121.0
720.0,123.0
717.0,127.0
716.0,129.0
716.0,132.0
716.0,133.0
716.0,136.0
716.0,140.0
716.0,143.0
714.0,146.0
713.0,150.0
711.0,155.0
711.0,158.0
710.0,163.0
710.0,165.0
710.0,167.0
708.0,169.0
708.0,170.0
708.0,171.0
708.0,174.0
708.0,175.0
708.0,178.0
708.0,179.0
707.0,180.0
707.0,181.0
707.0,184.0
707.0,185.0
707.0,188.0
707.0,189.0
707.0,192.0
707.0,193.0
707.0,196.0
706.0,197.0
705.0,198.0
705.0,199.0
705.0,200.0
705.0,201.0
705.0,202.0
704.0,203.0
704.0,204.0
704.0,205.0
704.0,208.0
703.0,209.0
702.0,209.0
702.0,210.0
702.0,211.0
701.0,212.0
701.0,213.0
699.0,214.0
699.0,215.0
698.0,216.0
698.0,217.0
697.0,218.0
696.0,220.0
696.0,221.0
695.0,221.0
694.0,222.0
693.0,223.0
691.0,223.0
690.0,223.0
688.0,223.0
686.0,223.0
684.0,223.0
682.0,223.0
680.0,223.0
678.0,223.0
675.0,223.0
674.0,223.0
671.0,223.0
670.0,222.0
667.0,222.0
666.0,221.0
665.0,220.0
664.0,218.0
663.0,217.0
660.0,214.0
659.0,213.0
659.0,211.0
659.0,210.0
658.0,210.0
655.0,207.0
654.0,206.0
653.0,205.0
653.0,204.0
653.0,202.0
